feature,importance,std
A,0.0219233272772,0.00807782938663
C,0.0272718183174,0.0164229537052
D,0.0264170925445,0.00814995000787
E,0.0440944792519,0.037426682859
F,0.0204074590303,0.00655415636767
G,0.0237989077462,0.00780214991477
H,0.029500110783,0.0135209728494
I,0.0256648921762,0.00926162748745
K,0.0238644613823,0.0109985708437
L,0.0262140558161,0.00840527410283
M,0.0235914936396,0.00730079801401
N,0.0223196194894,0.00748431671901
P,0.0259239150006,0.00840123224941
Q,0.0610840884676,0.0471750202749
R,0.0243370136811,0.00862545682286
S,0.0253823812307,0.0130649883439
T,0.0288319656801,0.0132138261583
V,0.0263702810989,0.00971398652621
W,0.0237095745696,0.00756032409595
Y,0.0381336729762,0.0124475680521
OGT,0.431159389841,0.0896236515428
