index,exprimental,predicted
B2KJ46,35.0,38.4615
Q8L3C9,70.0,58.32325
A4IP64,60.0,60.2025
A4ISB9,60.0,60.80575
D4GSN2,80.0,64.823
G3FFC9,50.0,45.55225
V9SCJ1,50.0,46.6195
V9SDP6,50.0,46.1026666667
V9SFA1,50.0,45.111
Q6L0S1,83.0,75.4576666667
A3MVR8,80.0,76.957
Q8U259,70.0,70.8877380952
Q4J702,70.0,70.8763333333
C7IV28,60.0,60.7645
Q5JI09,90.0,83.2605
Q9HIM3,75.0,69.0353333333
Q86RB1,25.0,28.797
A5HIF6,30.0,32.2333333333
E5RQ20,75.0,60.151
P07913,39.0,37.684
C7R702,60.0,52.8186666667
Q308C1,30.0,30.6518333333
Q04212,25.0,28.9605833333
Q763T4,25.0,27.792
H6WCP4,30.0,30.9685
B6HI95,45.0,39.9759166667
Q1J2J0,45.0,45.121
P9WQP7,30.0,31.4145
Q1MLL4,35.0,35.4163333333
A0A0J9X283,25.0,31.9345
Q5JGC2,90.0,81.4243333333
C7FDI4,37.0,37.759
D7FMJ8,30.0,31.576
D8LI09,30.0,31.973
P53199,30.0,31.86075
Q5UY95,44.0,42.6445
Q9Y8Y1,70.0,69.0826785714
Q5FQJ0,35.0,34.596
A0A0E4AX59,48.0,46.701
A0A0E4AY21,48.0,46.442
Q7S3U4,33.0,33.5181666667
Q9X265,75.0,71.2180666667
A4IP64,60.0,60.2025
A4ISB9,60.0,60.80575
P17618,37.0,36.413
P25539,37.0,37.64165
U6CL97,40.0,38.981
O73949,80.0,77.691
A3GHL4,30.0,32.18475
A3GHR6,30.0,32.2986666667
F8S123,95.0,86.5
A7B4V1,37.0,37.6405
A0A0C1Q6R1,31.0,34.5823
A0NIJ1,55.0,47.7393333333
D1MF29,40.0,38.103
Q81W29,30.0,31.3245
Q2SWW9,30.0,33.4528333333
Q59Q46,25.0,28.03
A1KU15,30.0,32.164
P99106,30.0,31.68075
A0A0K2E8F8,37.0,36.533
Q4VRV8,37.0,36.3768333333
Q76L36,28.0,30.69875
Q76L37,28.0,31.7025
A4PIB0,25.0,30.067
Q5FTU6,25.0,28.7751166667
C4R4L0,43.0,39.9435
C9E261,30.0,31.687
W0A856,35.0,35.278
Q9X5C9,30.0,32.329
P15770,28.0,28.742
Q56S04,60.0,50.1061666667
A0A1K3RIC7,25.0,27.926
A5U5Q2,25.0,26.423
P95001,25.0,26.423
Q88GF6,22.0,27.8768333333
Q88IJ7,24.0,28.273
Q88JP1,22.0,26.7763
Q88K85,22.0,26.888
